,Unnamed: 0,Name,Station,FirstCategory,SecondCategory,TotalRating,ReviewNum,Lat,Long,Category,DinnerPriceLow,DinnerPriceHigh,LunchPriceLow,LunchPriceHigh
0,1,Orudeidainingurajou  ,Kyoto,Buffet style,Cafe,3.39,56,34.9861751483108,135.761313932311,Buffet style Cafe,￥4000,￥4999,￥2000,￥2999
1,2,Steak Frites Gaspard zinzin  ,Karasuma,Bistro,Steak,3.18,70,35.0058257987896,135.759856759688,Bistro Steak,￥3000,￥3999,￥1000,￥1999
2,3,KAZUMA  ,Sanjo,Izakaya (Tavern),Japanese food (other),3.28,7,35.0065825659963,135.770246695295,Izakaya (Tavern) Japanese food (other),￥3000,￥3999,,
3,4,okonomiyakiteppanyakimiki  ,Tambaguchi,Okonomiyaki,Izakaya (Tavern),3.14,16,34.9959244331732,135.748266511467,Okonomiyaki Izakaya (Tavern),￥3000,￥3999,,
4,5,Shaofeiyan  ,Kyoto Shiyakusho Mae,Chinese hot pot / fire pot,Chinese,3.16,23,35.00790072262,135.768201804433,Chinese hot pot / fire pot Chinese,￥4000,￥4999,￥1000,￥1999
5,6,okuta-va  ,Kyoto,Bar,Italian,3.08,24,34.9834970882448,135.760559396056,Bar Italian,￥4000,￥4999,￥1000,￥1999
6,7,Resort dining&bar HaLe  ,Sanjo,Italian,Bar,3.04,22,35.0071947091437,135.769468120661,Italian Bar,￥3000,￥3999,￥1000,￥1999
7,8,Sumika  ,Kawaramachi,Izakaya (Tavern),Creative cuisine,3.34,23,35.0047040863454,135.770182117381,Izakaya (Tavern) Creative cuisine,￥3000,￥3999,,
8,9,Gayagaya  ,Sanjo,Izakaya (Tavern),Bar,3.03,3,35.0071741645137,135.76996780233,Izakaya (Tavern) Bar,￥3000,￥3999,,
9,10,Ishibekoujimamecha  ,Gion Shijo,Izakaya (Tavern),Kyoto Cuisine,3.56,92,35.0008130609394,135.779155387735,Izakaya (Tavern) Kyoto Cuisine,￥4000,￥4999,,
10,11,nagoyako-chintokoshitsuizakayatorisai  ,Sanjo,Izakaya (Tavern),Japanese food (other),3.04,4,35.0073957953599,135.769274238615,Izakaya (Tavern) Japanese food (other),￥3000,￥3999,,
11,12,Gionabesu  ,Gion Shijo,French,Italian,3.58,120,35.0019536965639,135.774821250723,French Italian,￥8000,￥9999,￥6000,￥7999
12,13,nishikimachinoakarishoutengai  ,Karasuma,Izakaya (Tavern),Bar,3.0,2,35.0051631289148,135.76197633639,Izakaya (Tavern) Bar,￥2000,￥2999,￥2000,￥2999
